"Var1","Var2","Var3","Var4","simid"
7,3,7,1,511
8,3,7,1,512
9,3,7,1,513
1,4,7,1,514
2,4,7,1,515
3,4,7,1,516
4,4,7,1,517
5,4,7,1,518
6,4,7,1,519
7,4,7,1,520
8,4,7,1,521
9,4,7,1,522
1,5,7,1,523
2,5,7,1,524
3,5,7,1,525
4,5,7,1,526
5,5,7,1,527
6,5,7,1,528
7,5,7,1,529
8,5,7,1,530
9,5,7,1,531
1,6,7,1,532
2,6,7,1,533
3,6,7,1,534
4,6,7,1,535
5,6,7,1,536
6,6,7,1,537
7,6,7,1,538
8,6,7,1,539
9,6,7,1,540
1,7,7,1,541
2,7,7,1,542
3,7,7,1,543
4,7,7,1,544
5,7,7,1,545
6,7,7,1,546
7,7,7,1,547
8,7,7,1,548
9,7,7,1,549
1,8,7,1,550
2,8,7,1,551
3,8,7,1,552
4,8,7,1,553
5,8,7,1,554
6,8,7,1,555
7,8,7,1,556
8,8,7,1,557
9,8,7,1,558
1,9,7,1,559
2,9,7,1,560
3,9,7,1,561
4,9,7,1,562
5,9,7,1,563
6,9,7,1,564
7,9,7,1,565
8,9,7,1,566
9,9,7,1,567
1,1,8,1,568
2,1,8,1,569
3,1,8,1,570
4,1,8,1,571
5,1,8,1,572
6,1,8,1,573
7,1,8,1,574
8,1,8,1,575
9,1,8,1,576
1,2,8,1,577
2,2,8,1,578
3,2,8,1,579
4,2,8,1,580
5,2,8,1,581
6,2,8,1,582
7,2,8,1,583
8,2,8,1,584
9,2,8,1,585
1,3,8,1,586
2,3,8,1,587
3,3,8,1,588
4,3,8,1,589
5,3,8,1,590
6,3,8,1,591
7,3,8,1,592
8,3,8,1,593
9,3,8,1,594
1,4,8,1,595
2,4,8,1,596
3,4,8,1,597
4,4,8,1,598
5,4,8,1,599
6,4,8,1,600
7,4,8,1,601
8,4,8,1,602
9,4,8,1,603
1,5,8,1,604
2,5,8,1,605
3,5,8,1,606
4,5,8,1,607
5,5,8,1,608
6,5,8,1,609
7,5,8,1,610
8,5,8,1,611
9,5,8,1,612
1,6,8,1,613
2,6,8,1,614
3,6,8,1,615
4,6,8,1,616
5,6,8,1,617
6,6,8,1,618
7,6,8,1,619
8,6,8,1,620
9,6,8,1,621
1,7,8,1,622
2,7,8,1,623
3,7,8,1,624
4,7,8,1,625
5,7,8,1,626
6,7,8,1,627
7,7,8,1,628
8,7,8,1,629
9,7,8,1,630
1,8,8,1,631
2,8,8,1,632
3,8,8,1,633
4,8,8,1,634
5,8,8,1,635
6,8,8,1,636
7,8,8,1,637
8,8,8,1,638
9,8,8,1,639
1,9,8,1,640
2,9,8,1,641
3,9,8,1,642
4,9,8,1,643
5,9,8,1,644
6,9,8,1,645
7,9,8,1,646
8,9,8,1,647
9,9,8,1,648
1,1,9,1,649
2,1,9,1,650
3,1,9,1,651
4,1,9,1,652
5,1,9,1,653
6,1,9,1,654
7,1,9,1,655
8,1,9,1,656
9,1,9,1,657
1,2,9,1,658
2,2,9,1,659
3,2,9,1,660
4,2,9,1,661
5,2,9,1,662
6,2,9,1,663
7,2,9,1,664
8,2,9,1,665
9,2,9,1,666
1,3,9,1,667
2,3,9,1,668
3,3,9,1,669
4,3,9,1,670
5,3,9,1,671
6,3,9,1,672
7,3,9,1,673
8,3,9,1,674
9,3,9,1,675
1,4,9,1,676
2,4,9,1,677
3,4,9,1,678
4,4,9,1,679
5,4,9,1,680
6,4,9,1,681
7,4,9,1,682
8,4,9,1,683
9,4,9,1,684
1,5,9,1,685
2,5,9,1,686
3,5,9,1,687
4,5,9,1,688
5,5,9,1,689
6,5,9,1,690
7,5,9,1,691
8,5,9,1,692
9,5,9,1,693
1,6,9,1,694
2,6,9,1,695
3,6,9,1,696
4,6,9,1,697
5,6,9,1,698
6,6,9,1,699
7,6,9,1,700
8,6,9,1,701
9,6,9,1,702
1,7,9,1,703
2,7,9,1,704
3,7,9,1,705
4,7,9,1,706
5,7,9,1,707
6,7,9,1,708
7,7,9,1,709
8,7,9,1,710
9,7,9,1,711
1,8,9,1,712
2,8,9,1,713
3,8,9,1,714
4,8,9,1,715
5,8,9,1,716
6,8,9,1,717
7,8,9,1,718
8,8,9,1,719
9,8,9,1,720
1,9,9,1,721
2,9,9,1,722
3,9,9,1,723
4,9,9,1,724
5,9,9,1,725
6,9,9,1,726
7,9,9,1,727
8,9,9,1,728
9,9,9,1,729
1,1,1,2,730
2,1,1,2,731
3,1,1,2,732
4,1,1,2,733
5,1,1,2,734
6,1,1,2,735
7,1,1,2,736
8,1,1,2,737
9,1,1,2,738
1,2,1,2,739
2,2,1,2,740
3,2,1,2,741
4,2,1,2,742
5,2,1,2,743
6,2,1,2,744
7,2,1,2,745
8,2,1,2,746
9,2,1,2,747
1,3,1,2,748
2,3,1,2,749
3,3,1,2,750
4,3,1,2,751
5,3,1,2,752
6,3,1,2,753
7,3,1,2,754
8,3,1,2,755
9,3,1,2,756
1,4,1,2,757
2,4,1,2,758
3,4,1,2,759
4,4,1,2,760
5,4,1,2,761
6,4,1,2,762
7,4,1,2,763
8,4,1,2,764
9,4,1,2,765
1,5,1,2,766
2,5,1,2,767
3,5,1,2,768
4,5,1,2,769
5,5,1,2,770
6,5,1,2,771
7,5,1,2,772
8,5,1,2,773
9,5,1,2,774
1,6,1,2,775
2,6,1,2,776
3,6,1,2,777
4,6,1,2,778
5,6,1,2,779
6,6,1,2,780
7,6,1,2,781
8,6,1,2,782
9,6,1,2,783
1,7,1,2,784
2,7,1,2,785
3,7,1,2,786
4,7,1,2,787
5,7,1,2,788
6,7,1,2,789
7,7,1,2,790
8,7,1,2,791
9,7,1,2,792
1,8,1,2,793
2,8,1,2,794
3,8,1,2,795
4,8,1,2,796
5,8,1,2,797
6,8,1,2,798
7,8,1,2,799
8,8,1,2,800
9,8,1,2,801
1,9,1,2,802
2,9,1,2,803
3,9,1,2,804
4,9,1,2,805
5,9,1,2,806
6,9,1,2,807
7,9,1,2,808
8,9,1,2,809
9,9,1,2,810
1,1,2,2,811
2,1,2,2,812
3,1,2,2,813
4,1,2,2,814
5,1,2,2,815
6,1,2,2,816
7,1,2,2,817
8,1,2,2,818
9,1,2,2,819
1,2,2,2,820
2,2,2,2,821
3,2,2,2,822
4,2,2,2,823
5,2,2,2,824
6,2,2,2,825
7,2,2,2,826
8,2,2,2,827
9,2,2,2,828
1,3,2,2,829
2,3,2,2,830
3,3,2,2,831
4,3,2,2,832
5,3,2,2,833
6,3,2,2,834
7,3,2,2,835
8,3,2,2,836
9,3,2,2,837
1,4,2,2,838
2,4,2,2,839
3,4,2,2,840
4,4,2,2,841
5,4,2,2,842
6,4,2,2,843
7,4,2,2,844
8,4,2,2,845
9,4,2,2,846
1,5,2,2,847
2,5,2,2,848
3,5,2,2,849
4,5,2,2,850
5,5,2,2,851
6,5,2,2,852
7,5,2,2,853
8,5,2,2,854
9,5,2,2,855
1,6,2,2,856
2,6,2,2,857
3,6,2,2,858
4,6,2,2,859
5,6,2,2,860
6,6,2,2,861
7,6,2,2,862
8,6,2,2,863
9,6,2,2,864
1,7,2,2,865
2,7,2,2,866
3,7,2,2,867
4,7,2,2,868
5,7,2,2,869
6,7,2,2,870
7,7,2,2,871
8,7,2,2,872
9,7,2,2,873
1,8,2,2,874
2,8,2,2,875
3,8,2,2,876
4,8,2,2,877
5,8,2,2,878
6,8,2,2,879
7,8,2,2,880
8,8,2,2,881
9,8,2,2,882
1,9,2,2,883
2,9,2,2,884
3,9,2,2,885
4,9,2,2,886
5,9,2,2,887
6,9,2,2,888
7,9,2,2,889
8,9,2,2,890
9,9,2,2,891
1,1,3,2,892
2,1,3,2,893
3,1,3,2,894
4,1,3,2,895
5,1,3,2,896
6,1,3,2,897
7,1,3,2,898
8,1,3,2,899
9,1,3,2,900
1,2,3,2,901
2,2,3,2,902
3,2,3,2,903
4,2,3,2,904
5,2,3,2,905
6,2,3,2,906
7,2,3,2,907
8,2,3,2,908
9,2,3,2,909
1,3,3,2,910
2,3,3,2,911
3,3,3,2,912
4,3,3,2,913
5,3,3,2,914
6,3,3,2,915
7,3,3,2,916
8,3,3,2,917
9,3,3,2,918
1,4,3,2,919
2,4,3,2,920
3,4,3,2,921
4,4,3,2,922
5,4,3,2,923
6,4,3,2,924
7,4,3,2,925
8,4,3,2,926
9,4,3,2,927
1,5,3,2,928
2,5,3,2,929
3,5,3,2,930
4,5,3,2,931
5,5,3,2,932
6,5,3,2,933
7,5,3,2,934
8,5,3,2,935
9,5,3,2,936
1,6,3,2,937
2,6,3,2,938
3,6,3,2,939
4,6,3,2,940
5,6,3,2,941
6,6,3,2,942
7,6,3,2,943
8,6,3,2,944
9,6,3,2,945
1,7,3,2,946
2,7,3,2,947
3,7,3,2,948
4,7,3,2,949
5,7,3,2,950
6,7,3,2,951
7,7,3,2,952
8,7,3,2,953
9,7,3,2,954
1,8,3,2,955
2,8,3,2,956
3,8,3,2,957
4,8,3,2,958
5,8,3,2,959
6,8,3,2,960
7,8,3,2,961
8,8,3,2,962
9,8,3,2,963
1,9,3,2,964
2,9,3,2,965
3,9,3,2,966
4,9,3,2,967
5,9,3,2,968
6,9,3,2,969
7,9,3,2,970
8,9,3,2,971
9,9,3,2,972
1,1,4,2,973
2,1,4,2,974
3,1,4,2,975
4,1,4,2,976
5,1,4,2,977
6,1,4,2,978
7,1,4,2,979
8,1,4,2,980
9,1,4,2,981
1,2,4,2,982
2,2,4,2,983
3,2,4,2,984
4,2,4,2,985
5,2,4,2,986
6,2,4,2,987
7,2,4,2,988
8,2,4,2,989
9,2,4,2,990
1,3,4,2,991
2,3,4,2,992
3,3,4,2,993
4,3,4,2,994
5,3,4,2,995
6,3,4,2,996
7,3,4,2,997
8,3,4,2,998
9,3,4,2,999
1,4,4,2,1000
2,4,4,2,1001
3,4,4,2,1002
4,4,4,2,1003
5,4,4,2,1004
6,4,4,2,1005
7,4,4,2,1006
8,4,4,2,1007
9,4,4,2,1008
1,5,4,2,1009
2,5,4,2,1010
3,5,4,2,1011
4,5,4,2,1012
5,5,4,2,1013
6,5,4,2,1014
7,5,4,2,1015
8,5,4,2,1016
9,5,4,2,1017
1,6,4,2,1018
2,6,4,2,1019
3,6,4,2,1020
4,6,4,2,1021
5,6,4,2,1022
6,6,4,2,1023
7,6,4,2,1024
8,6,4,2,1025
9,6,4,2,1026
1,7,4,2,1027
2,7,4,2,1028
3,7,4,2,1029
4,7,4,2,1030
5,7,4,2,1031
6,7,4,2,1032
7,7,4,2,1033
8,7,4,2,1034
9,7,4,2,1035
1,8,4,2,1036
2,8,4,2,1037
3,8,4,2,1038
4,8,4,2,1039
5,8,4,2,1040
6,8,4,2,1041
7,8,4,2,1042
8,8,4,2,1043
9,8,4,2,1044
1,9,4,2,1045
2,9,4,2,1046
3,9,4,2,1047
4,9,4,2,1048
5,9,4,2,1049
6,9,4,2,1050
7,9,4,2,1051
8,9,4,2,1052
9,9,4,2,1053
1,1,5,2,1054
2,1,5,2,1055
3,1,5,2,1056
4,1,5,2,1057
5,1,5,2,1058
6,1,5,2,1059
7,1,5,2,1060
8,1,5,2,1061
9,1,5,2,1062
1,2,5,2,1063
2,2,5,2,1064
3,2,5,2,1065
4,2,5,2,1066
5,2,5,2,1067
6,2,5,2,1068
7,2,5,2,1069
8,2,5,2,1070
9,2,5,2,1071
1,3,5,2,1072
2,3,5,2,1073
3,3,5,2,1074
4,3,5,2,1075
5,3,5,2,1076
6,3,5,2,1077
7,3,5,2,1078
8,3,5,2,1079
9,3,5,2,1080
1,4,5,2,1081
2,4,5,2,1082
3,4,5,2,1083
4,4,5,2,1084
5,4,5,2,1085
6,4,5,2,1086
7,4,5,2,1087
8,4,5,2,1088
9,4,5,2,1089
1,5,5,2,1090
2,5,5,2,1091
3,5,5,2,1092
4,5,5,2,1093
5,5,5,2,1094
6,5,5,2,1095
7,5,5,2,1096
8,5,5,2,1097
9,5,5,2,1098
1,6,5,2,1099
2,6,5,2,1100
3,6,5,2,1101
4,6,5,2,1102
5,6,5,2,1103
6,6,5,2,1104
7,6,5,2,1105
8,6,5,2,1106
9,6,5,2,1107
1,7,5,2,1108
2,7,5,2,1109
3,7,5,2,1110
4,7,5,2,1111
5,7,5,2,1112
6,7,5,2,1113
7,7,5,2,1114
8,7,5,2,1115
9,7,5,2,1116
1,8,5,2,1117
2,8,5,2,1118
3,8,5,2,1119
4,8,5,2,1120
5,8,5,2,1121
6,8,5,2,1122
7,8,5,2,1123
8,8,5,2,1124
9,8,5,2,1125
1,9,5,2,1126
2,9,5,2,1127
3,9,5,2,1128
4,9,5,2,1129
5,9,5,2,1130
6,9,5,2,1131
7,9,5,2,1132
8,9,5,2,1133
9,9,5,2,1134
1,1,6,2,1135
2,1,6,2,1136
3,1,6,2,1137
4,1,6,2,1138
5,1,6,2,1139
6,1,6,2,1140
7,1,6,2,1141
8,1,6,2,1142
9,1,6,2,1143
1,2,6,2,1144
2,2,6,2,1145
3,2,6,2,1146
4,2,6,2,1147
5,2,6,2,1148
6,2,6,2,1149
7,2,6,2,1150
8,2,6,2,1151
9,2,6,2,1152
1,3,6,2,1153
2,3,6,2,1154
3,3,6,2,1155
4,3,6,2,1156
5,3,6,2,1157
6,3,6,2,1158
7,3,6,2,1159
8,3,6,2,1160
9,3,6,2,1161
1,4,6,2,1162
2,4,6,2,1163
3,4,6,2,1164
4,4,6,2,1165
5,4,6,2,1166
6,4,6,2,1167
7,4,6,2,1168
8,4,6,2,1169
9,4,6,2,1170
1,5,6,2,1171
2,5,6,2,1172
3,5,6,2,1173
4,5,6,2,1174
5,5,6,2,1175
6,5,6,2,1176
7,5,6,2,1177
8,5,6,2,1178
9,5,6,2,1179
1,6,6,2,1180
2,6,6,2,1181
3,6,6,2,1182
4,6,6,2,1183
5,6,6,2,1184
6,6,6,2,1185
7,6,6,2,1186
8,6,6,2,1187
9,6,6,2,1188
1,7,6,2,1189
2,7,6,2,1190
3,7,6,2,1191
4,7,6,2,1192
5,7,6,2,1193
6,7,6,2,1194
7,7,6,2,1195
8,7,6,2,1196
9,7,6,2,1197
1,8,6,2,1198
2,8,6,2,1199
3,8,6,2,1200
4,8,6,2,1201
5,8,6,2,1202
6,8,6,2,1203
7,8,6,2,1204
8,8,6,2,1205
9,8,6,2,1206
1,9,6,2,1207
2,9,6,2,1208
3,9,6,2,1209
4,9,6,2,1210
5,9,6,2,1211
6,9,6,2,1212
7,9,6,2,1213
8,9,6,2,1214
9,9,6,2,1215
1,1,7,2,1216
2,1,7,2,1217
3,1,7,2,1218
4,1,7,2,1219
5,1,7,2,1220
6,1,7,2,1221
7,1,7,2,1222
8,1,7,2,1223
9,1,7,2,1224
1,2,7,2,1225
2,2,7,2,1226
3,2,7,2,1227
4,2,7,2,1228
5,2,7,2,1229
6,2,7,2,1230
7,2,7,2,1231
8,2,7,2,1232
9,2,7,2,1233
1,3,7,2,1234
2,3,7,2,1235
3,3,7,2,1236
4,3,7,2,1237
5,3,7,2,1238
6,3,7,2,1239
7,3,7,2,1240
8,3,7,2,1241
9,3,7,2,1242
1,4,7,2,1243
2,4,7,2,1244
3,4,7,2,1245
4,4,7,2,1246
5,4,7,2,1247
6,4,7,2,1248
7,4,7,2,1249
8,4,7,2,1250
9,4,7,2,1251
1,5,7,2,1252
2,5,7,2,1253
3,5,7,2,1254
4,5,7,2,1255
5,5,7,2,1256
6,5,7,2,1257
7,5,7,2,1258
8,5,7,2,1259
9,5,7,2,1260
1,6,7,2,1261
2,6,7,2,1262
3,6,7,2,1263
4,6,7,2,1264
5,6,7,2,1265
6,6,7,2,1266
7,6,7,2,1267
8,6,7,2,1268
9,6,7,2,1269
1,7,7,2,1270
2,7,7,2,1271
3,7,7,2,1272
4,7,7,2,1273
5,7,7,2,1274
6,7,7,2,1275
7,7,7,2,1276
8,7,7,2,1277
9,7,7,2,1278
1,8,7,2,1279
2,8,7,2,1280
3,8,7,2,1281
4,8,7,2,1282
5,8,7,2,1283
6,8,7,2,1284
7,8,7,2,1285
8,8,7,2,1286
9,8,7,2,1287
1,9,7,2,1288
2,9,7,2,1289
3,9,7,2,1290
4,9,7,2,1291
5,9,7,2,1292
6,9,7,2,1293
7,9,7,2,1294
8,9,7,2,1295
9,9,7,2,1296
1,1,8,2,1297
2,1,8,2,1298
3,1,8,2,1299
4,1,8,2,1300
5,1,8,2,1301
6,1,8,2,1302
7,1,8,2,1303
8,1,8,2,1304
9,1,8,2,1305
1,2,8,2,1306
2,2,8,2,1307
3,2,8,2,1308
4,2,8,2,1309
5,2,8,2,1310
6,2,8,2,1311
7,2,8,2,1312
8,2,8,2,1313
9,2,8,2,1314
1,3,8,2,1315
2,3,8,2,1316
3,3,8,2,1317
4,3,8,2,1318
5,3,8,2,1319
6,3,8,2,1320
7,3,8,2,1321
8,3,8,2,1322
9,3,8,2,1323
1,4,8,2,1324
2,4,8,2,1325
3,4,8,2,1326
4,4,8,2,1327
5,4,8,2,1328
6,4,8,2,1329
7,4,8,2,1330
8,4,8,2,1331
9,4,8,2,1332
1,5,8,2,1333
2,5,8,2,1334
3,5,8,2,1335
4,5,8,2,1336
5,5,8,2,1337
6,5,8,2,1338
7,5,8,2,1339
8,5,8,2,1340
9,5,8,2,1341
1,6,8,2,1342
2,6,8,2,1343
3,6,8,2,1344
